"","year","type_of_work","n_of_permits"
"1",2017,"Addition / Alteration",3133
"2",2017,"Demolition / Deconstruction",877
"3",2017,"New Building",1527
"4",2017,"Outdoor Uses (No Buildings Proposed)",11
"5",2017,"Salvage and Abatement",1113
"6",2017,"Temporary Building / Structure",73
"7",2018,"Addition / Alteration",3321
"8",2018,"Demolition / Deconstruction",836
"9",2018,"New Building",1674
"10",2018,"Outdoor Uses (No Buildings Proposed)",9
"11",2018,"Salvage and Abatement",858
"12",2018,"Temporary Building / Structure",60
"13",2019,"Addition / Alteration",3042
"14",2019,"Demolition / Deconstruction",663
"15",2019,"New Building",1192
"16",2019,"Outdoor Uses (No Buildings Proposed)",6
"17",2019,"Salvage and Abatement",597
"18",2019,"Temporary Building / Structure",72
"19",2020,"Addition / Alteration",884
"20",2020,"Demolition / Deconstruction",189
"21",2020,"New Building",335
"22",2020,"Outdoor Uses (No Buildings Proposed)",1
"23",2020,"Salvage and Abatement",195
"24",2020,"Temporary Building / Structure",12
